Date,Download,Upload
Wed  9 Dec 12:17:47 IST 2020,89.35,31.81
Wed  9 Dec 12:20:25 IST 2020,54.2,29.61
Wed  9 Dec 12:21:00 IST 2020,29.73,32.17
Wed  9 Dec 19:46:43 IST 2020,89.4,30.17
Wed  9 Dec 20:19:02 IST 2020,41.89,33.05
Wed  9 Dec 22:15:10 IST 2020,81.94,26.71
Wed  9 Dec 22:30:01 IST 2020,52.56,30.38
Wed  9 Dec 23:00:01 IST 2020,63.82,32.27
Wed  9 Dec 23:30:01 IST 2020,55.52,24.66
Thu 10 Dec 00:00:01 IST 2020,35.67,23.98
Thu 10 Dec 00:30:01 IST 2020,43.52,21.61
Thu 10 Dec 01:00:01 IST 2020,42.17,22.1
Thu 10 Dec 01:30:01 IST 2020,63.01,24.41
Thu 10 Dec 02:00:01 IST 2020,49.22,22.31
Thu 10 Dec 02:30:01 IST 2020,42.71,23.26
Thu 10 Dec 03:00:01 IST 2020,49.53,22.17
Thu 10 Dec 03:30:01 IST 2020,55.31,27.06
Thu 10 Dec 04:00:01 IST 2020,43.17,22.84
Thu 10 Dec 04:30:01 IST 2020,44.91,21.68
Thu 10 Dec 05:00:02 IST 2020,44.79,27.07
Thu 10 Dec 05:30:01 IST 2020,49.91,24.89
Thu 10 Dec 06:00:01 IST 2020,50.86,22.86
Thu 10 Dec 06:30:02 IST 2020,50.44,32.07
Thu 10 Dec 07:00:01 IST 2020,30.89,26.11
Thu 10 Dec 07:30:01 IST 2020,44.87,22.52
Thu 10 Dec 08:00:02 IST 2020,28.48,22.34
Thu 10 Dec 08:30:01 IST 2020,45.83,21.85
Thu 10 Dec 09:00:01 IST 2020,61.03,32.14
Thu 10 Dec 09:30:01 IST 2020,49.34,25.84
Thu 10 Dec 10:00:01 IST 2020,64.19,22.74
Thu 10 Dec 10:30:01 IST 2020,60.32,27.64
Thu 10 Dec 11:00:01 IST 2020,47.09,24.09
Thu 10 Dec 11:30:01 IST 2020,29.17,20.07
Thu 10 Dec 12:00:01 IST 2020,32.02,8.88
Thu 10 Dec 12:30:01 IST 2020,84.42,8.01
Thu 10 Dec 13:00:01 IST 2020,83.63,30.69
Thu 10 Dec 13:30:01 IST 2020,26.27,20.24
Thu 10 Dec 14:00:01 IST 2020,61.06,6.47
Thu 10 Dec 14:30:01 IST 2020,79.23,4.75
Thu 10 Dec 15:00:01 IST 2020,69,25.06
Thu 10 Dec 15:30:01 IST 2020,66.49,7.75
Thu 10 Dec 16:00:01 IST 2020,65.38,1.79
Thu 10 Dec 16:30:01 IST 2020,30.46,11.12
Thu 10 Dec 17:00:01 IST 2020,61.34,25.82
Thu 10 Dec 17:30:01 IST 2020,52.26,22.9
Thu 10 Dec 18:00:01 IST 2020,41.62,25.48
Thu 10 Dec 18:30:01 IST 2020,34.41,21.94
Thu 10 Dec 19:00:01 IST 2020,40.73,24.25
Thu 10 Dec 19:30:01 IST 2020,80.98,25.93
Thu 10 Dec 20:00:01 IST 2020,47.91,22.45
Thu 10 Dec 20:30:01 IST 2020,26.6,10.82
Thu 10 Dec 21:00:01 IST 2020,81.62,16.44
Thu 10 Dec 21:30:01 IST 2020,51.72,19.18
Thu 10 Dec 22:00:01 IST 2020,65.67,22.38
Thu 10 Dec 22:30:01 IST 2020,72.51,17.56
Thu 10 Dec 23:00:01 IST 2020,57.73,19.59
Thu 10 Dec 23:30:01 IST 2020,51.45,23.78
Fri 11 Dec 00:00:01 IST 2020,37.07,21.25
Fri 11 Dec 00:30:01 IST 2020,39.48,26.03
Fri 11 Dec 01:00:01 IST 2020,83.6,23.82
Fri 11 Dec 01:30:01 IST 2020,58.02,28.33
Fri 11 Dec 02:00:01 IST 2020,54.15,25.46
Fri 11 Dec 02:30:01 IST 2020,49.16,23.48
Fri 11 Dec 03:00:01 IST 2020,41.43,14.72
Fri 11 Dec 03:30:01 IST 2020,49.29,28.72
Fri 11 Dec 04:00:01 IST 2020,49.25,22.16
Fri 11 Dec 04:30:01 IST 2020,50.19,27.43
Fri 11 Dec 05:00:01 IST 2020,41.44,24.96
Fri 11 Dec 05:30:02 IST 2020,48.99,24.19
Fri 11 Dec 06:00:01 IST 2020,54.51,33.44
Fri 11 Dec 06:30:01 IST 2020,54.85,31.55
Fri 11 Dec 07:00:01 IST 2020,57.43,31.07
Fri 11 Dec 07:30:01 IST 2020,58.59,33.42
Fri 11 Dec 08:00:02 IST 2020,19.44,17.78
Fri 11 Dec 08:30:01 IST 2020,84.88,32.9
Fri 11 Dec 09:00:02 IST 2020,49.38,31.43
Fri 11 Dec 09:30:01 IST 2020,86.39,27.47
Fri 11 Dec 10:00:01 IST 2020,48.66,29.71
