Date,Download,Upload
Wed  9 Dec 21:00:01 IST 2020,52.77,43.13
Wed  9 Dec 21:30:01 IST 2020,44.4,51.66
Wed  9 Dec 22:00:01 IST 2020,52.05,60.02
Wed  9 Dec 22:30:01 IST 2020,24.69,52.98
Wed  9 Dec 23:00:01 IST 2020,36.34,60.29
Wed  9 Dec 23:30:01 IST 2020,32.42,61.18
Thu 10 Dec 00:00:01 IST 2020,35,58.13
Thu 10 Dec 00:30:01 IST 2020,32.16,58.23
Thu 10 Dec 01:00:01 IST 2020,31.89,52.6
Thu 10 Dec 01:30:01 IST 2020,36.43,58.87
Thu 10 Dec 02:00:01 IST 2020,36.84,60.76
Thu 10 Dec 02:30:01 IST 2020,36.46,59.07
Thu 10 Dec 03:00:01 IST 2020,40.02,64.31
Thu 10 Dec 03:30:01 IST 2020,30.79,55.47
Thu 10 Dec 04:00:01 IST 2020,24.65,56.97
Thu 10 Dec 04:30:01 IST 2020,33.81,56.64
Thu 10 Dec 05:00:01 IST 2020,32.57,56.65
Thu 10 Dec 05:30:01 IST 2020,26.13,58.08
Thu 10 Dec 06:00:02 IST 2020,32.37,57.8
Thu 10 Dec 06:30:01 IST 2020,32.77,59.29
Thu 10 Dec 07:00:01 IST 2020,40.12,56.58
Thu 10 Dec 07:30:01 IST 2020,35.92,55.07
Thu 10 Dec 08:00:01 IST 2020,27.93,48.21
Thu 10 Dec 08:30:01 IST 2020,28.53,62.44
Thu 10 Dec 09:00:01 IST 2020,35.84,57.99
Thu 10 Dec 09:30:01 IST 2020,32.13,58.09
Thu 10 Dec 10:00:01 IST 2020,27.14,64.17
Thu 10 Dec 10:30:01 IST 2020,40.13,57.52
Thu 10 Dec 11:00:01 IST 2020,44.16,64.24
Thu 10 Dec 11:30:01 IST 2020,37.97,58.45
Thu 10 Dec 12:00:01 IST 2020,27.74,61.69
Thu 10 Dec 12:30:01 IST 2020,,
Thu 10 Dec 13:00:01 IST 2020,,
Thu 10 Dec 13:30:01 IST 2020,,
Thu 10 Dec 14:00:01 IST 2020,37.46,65.69
Thu 10 Dec 14:30:01 IST 2020,54.91,58.76
Thu 10 Dec 15:00:01 IST 2020,40.68,52.21
Thu 10 Dec 15:30:01 IST 2020,52.47,59.24
Thu 10 Dec 16:00:01 IST 2020,47.02,51.6
Thu 10 Dec 16:30:01 IST 2020,53.15,57.22
Thu 10 Dec 17:00:02 IST 2020,34.19,58.45
