Date,Download,Upload
Wed  9 Dec 20:30:01 IST 2020,24.35,48.69
Wed  9 Dec 21:00:01 IST 2020,,
Wed  9 Dec 21:30:01 IST 2020,27.27,1.19
Wed  9 Dec 22:00:01 IST 2020,37.88,0.16
Wed  9 Dec 22:30:01 IST 2020,,
Wed  9 Dec 23:00:01 IST 2020,,
Wed  9 Dec 23:13:22 IST 2020,38.29,22.63
Wed  9 Dec 23:30:01 IST 2020,7.5,0
Thu 10 Dec 00:00:01 IST 2020,33.41,20.67
Thu 10 Dec 00:30:01 IST 2020,31.68,19.74
Thu 10 Dec 01:00:02 IST 2020,28.71,24.26
Thu 10 Dec 01:30:01 IST 2020,25.18,22.94
Thu 10 Dec 02:00:01 IST 2020,35.97,25.44
Thu 10 Dec 02:30:01 IST 2020,24.61,22.57
Thu 10 Dec 03:00:01 IST 2020,30.62,23.43
Thu 10 Dec 03:30:02 IST 2020,25.7,23.67
Thu 10 Dec 04:00:01 IST 2020,36.08,21.87
Thu 10 Dec 04:30:01 IST 2020,30.88,23.18
Thu 10 Dec 05:00:01 IST 2020,26.23,17.68
Thu 10 Dec 05:30:01 IST 2020,28.31,22.81
Thu 10 Dec 06:00:01 IST 2020,36.48,24.52
Thu 10 Dec 06:30:01 IST 2020,7.23,0
Thu 10 Dec 07:00:01 IST 2020,32.27,20.18
Thu 10 Dec 07:30:01 IST 2020,30.89,26.29
Thu 10 Dec 08:00:01 IST 2020,46.89,26.85
Thu 10 Dec 08:30:01 IST 2020,23.81,16.47
Thu 10 Dec 09:00:01 IST 2020,29.85,25.17
Thu 10 Dec 09:30:01 IST 2020,32.41,25.87
Thu 10 Dec 10:00:01 IST 2020,26.97,22.48
Thu 10 Dec 10:30:01 IST 2020,29.34,21.43
Thu 10 Dec 11:00:01 IST 2020,29.97,28.36
Thu 10 Dec 11:30:01 IST 2020,20.24,17.2
Thu 10 Dec 12:00:01 IST 2020,26.53,7.63
Thu 10 Dec 12:30:01 IST 2020,12.6,0
Thu 10 Dec 13:00:01 IST 2020,32.45,25.87
Thu 10 Dec 13:30:01 IST 2020,,
Thu 10 Dec 14:00:01 IST 2020,17.38,4.9
Thu 10 Dec 14:30:01 IST 2020,10,0
Thu 10 Dec 15:00:01 IST 2020,33.09,28.8
Thu 10 Dec 15:30:01 IST 2020,8.62,0
Thu 10 Dec 16:00:01 IST 2020,4.28,0
Thu 10 Dec 16:30:01 IST 2020,25.85,9.19
Thu 10 Dec 17:00:01 IST 2020,31.19,32.5
Thu 10 Dec 17:30:01 IST 2020,23.06,19.93
Thu 10 Dec 18:00:01 IST 2020,28.33,23.93
Thu 10 Dec 18:30:01 IST 2020,24.04,22.6
Thu 10 Dec 19:00:01 IST 2020,27.84,20.48
Thu 10 Dec 19:30:01 IST 2020,19.74,20.64
Thu 10 Dec 20:00:01 IST 2020,33.99,20.22
Thu 10 Dec 20:30:01 IST 2020,20.8,24.18
Thu 10 Dec 21:00:01 IST 2020,40.23,34.59
Thu 10 Dec 21:30:01 IST 2020,37.94,18.69
Thu 10 Dec 22:00:01 IST 2020,22.11,16.81
Thu 10 Dec 22:30:01 IST 2020,41.48,21.78
Thu 10 Dec 23:00:01 IST 2020,12.73,29.46
Thu 10 Dec 23:30:01 IST 2020,20.35,23.76
Fri 11 Dec 00:00:01 IST 2020,20.36,25.71
Fri 11 Dec 00:30:01 IST 2020,15.14,34.12
Fri 11 Dec 01:00:01 IST 2020,21.26,32.93
Fri 11 Dec 01:30:01 IST 2020,20.53,35.27
Fri 11 Dec 02:00:01 IST 2020,12.41,18.32
